diam[nm],	phi	charge	MeanR[nm]	U(<r>)	U(r_FCC)	2pi/MeanR	Salt[然]	T[K]	Eps.	Lb[nm]	kappa[1/nm]	q_max[1/nm]	Sq_max	r_max[nm]	gr_max	S(0)	Contact_value	alpha	dr[diam]	U(rm)	r_dip[nm]	Nn	gr_dip	lambda	T~
23.3305807915223	0.15	2000	   35.39115	 4.925E-03	 5.321E-05	   0.1775355	1.19770735139478	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.029E-01	 5.0025E+01	 1.105E+01	 8.1472E-01	 3.603E+01	 2.030E+02
23.3305807915223	0.15	2000	   35.39115	 4.924E-03	 5.319E-05	   0.1775355	2.42978106580612	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.029E-01	 5.0025E+01	 1.105E+01	 8.1472E-01	 3.603E+01	 2.030E+02
23.3305807915223	0.15	2000	   35.39115	 4.922E-03	 5.316E-05	   0.1775355	4.92928094736557	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.176E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.029E-01	 5.0025E+01	 1.105E+01	 8.1473E-01	 3.603E+01	 2.031E+02
23.3305807915223	0.15	2000	   35.39115	 4.917E-03	 5.309E-05	   0.1775355	9.99999999999998	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.177E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.028E-01	 5.0025E+01	 1.105E+01	 8.1475E-01	 3.603E+01	 2.033E+02
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	5e-4	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.850E+01	 2.285E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0260077969381498	 1.224E-01	 5.8590E+01	 1.122E+01	 7.9360E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.00101434672792838	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.00205779856891804	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.00417464249023545	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.00846906990048226	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.0171811466843019	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
